Department,Department Name,Division,Gender,Base Salary,2020 Overtime Pay,2020 Longevity Pay,Grade
DOT,Department of Transportation,Highway Services,M,65464.00,8728.75,2041.20,14
DOT,Department of Transportation,Transit Operations and Planning,F,90848.00,0.00,725.42,21
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,0.00,481.92,15
DOT,Department of Transportation,Highway Services,M,60903.47,7499.93,0.00,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575.00,14934.50,2138.40,15
DOT,Department of Transportation,Sign and Marking Shop,M,52007.96,5776.03,0.00,12
DOT,Department of Transportation,Transit Nicholson Ride On,M,58065.95,1059.70,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,65303.91,7545.81,0.00,15
DOT,Department of Transportation,Highway Services,M,60272.49,2278.63,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,65993.03,3298.35,0.00,15
DOT,Department of Transportation,Highway Services,M,65464.00,2904.89,2300.40,14
DOT,Department of Transportation,Highway Services,M,65464.00,3055.15,2300.40,14
DOT,Department of Transportation,Transportation Management,M,66700.39,2044.35,0.00,23
DOT,Department of Transportation,Transportation Construction Section,M,99852.00,5040.77,0.00,23
DOT,Department of Transportation,Commuter Services,M,90848.00,0.00,0.00,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,67925.24,2234.96,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,75290.00,25977.84,2345.76,17
DOT,Department of Transportation,Highway Services,M,58234.15,7905.13,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575.00,3875.72,4337.28,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,98352.31,0.00,0.00,M3
DOT,Department of Transportation,Transit Silver Spring Ride On,M,55821.43,4469.81,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575.00,7694.51,2138.40,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575.00,2408.14,2138.40,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,62820.68,8203.74,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575.00,83.12,0.00,15
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,109761.00,0.00,0.00,25
DOT,Department of Transportation,Highway Services,F,64057.82,7055.96,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,29366.36,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,61892.87,19520.27,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58065.95,12669.35,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,13305.35,2118.19,15
DOT,Department of Transportation,Highway Services,M,65464.00,9265.64,4140.72,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,67868.20,12571.95,0.00,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,58234.18,0.00,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,59800.00,2735.50,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,5577.68,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575.00,4487.61,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,57776.16,1311.51,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,19785.02,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60697.79,1485.26,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,64722.91,5694.96,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,63553.78,13867.22,0.00,17
DOT,Department of Transportation,Transit Silver Spring Ride On,M,90848.00,7960.27,0.00,21
DOT,Department of Transportation,Transit Central Communication,M,70105.98,7583.71,0.00,18
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575.00,12213.65,2376.00,15
DOT,Department of Transportation,Transit Central Communication,F,78902.00,1149.41,242.88,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,75290.00,9349.89,4404.72,17
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,62820.68,13140.20,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,936.73,0.00,15
DOT,Department of Transportation,Highway Services,M,68575.00,9511.02,1900.80,15
DOT,Department of Transportation,Highway Administration,M,95236.00,7574.70,0.00,22
DOT,Department of Transportation,Parking Management Parking Operations,M,53094.51,0.00,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,4338.48,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60373.49,27371.00,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,4730.86,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,57776.16,6031.52,0.00,15
DOT,Department of Transportation,Highway Services,M,57402.35,13317.18,0.00,14
DOT,Department of Transportation,Highway Services,M,63646.42,5801.43,0.00,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,65993.03,4988.05,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,57776.16,3541.87,0.00,15
DOT,Department of Transportation,Commuter Services,F,90848.00,0.00,0.00,21
DOT,Department of Transportation,Transit Nicholson Ride On,F,62820.68,3011.97,0.00,15
DOT,Department of Transportation,Highway Services,M,57402.35,7291.11,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,11768.99,2138.40,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,68575.00,5811.08,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,59800.00,9604.41,0.00,15
DOT,Department of Transportation,Transit Central Communication,M,78902.00,10066.36,3929.60,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575.00,25160.30,2138.40,15
DOT,Department of Transportation,Transit Special Transportation and Medicaid,M,132599.71,0.00,0.00,M3
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,75290.00,9746.43,0.00,17
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,75290.00,1090.70,2345.76,17
DOT,Department of Transportation,Highway Services,M,68575.00,2938.02,1285.12,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,12355.93,2130.48,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,68575.00,11118.15,4337.28,15
DOT,Department of Transportation,Transit Management Services,F,99852.00,0.00,0.00,23
DOT,Department of Transportation,Transit Silver Spring Ride On,M,65018.66,2954.07,0.00,15
DOT,Department of Transportation,Highway Services,M,53822.69,1009.26,0.00,15
DOT,Department of Transportation,Highway Services,M,101065.65,36513.64,0.00,24
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,5926.89,4337.28,15
DOT,Department of Transportation,Parking Management Parking Operations,M,62488.00,47.81,3952.80,13
DOT,Department of Transportation,Transit Silver Spring Ride On,F,68575.00,25674.78,1979.98,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,16554.00,4271.11,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,3148.29,0.00,15
DOT,Department of Transportation,Highway Services,M,65464.00,2650.22,3518.64,14
DOT,Department of Transportation,Parking Management Parking Operations,M,78492.58,328.15,0.00,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,60697.79,10341.71,0.00,15
DOT,Department of Transportation,Highway Services,M,57402.35,2503.70,0.00,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,62820.70,14593.01,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575.00,4002.18,4337.28,15
DOT,Department of Transportation,Highway Services,M,82210.03,28284.17,0.00,24
DOT,Department of Transportation,Transit Nicholson Ride On,F,90848.00,5378.93,0.00,21
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,6026.25,4337.28,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,3328.37,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,67869.72,2011.03,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,14497.85,2138.40,15
DOT,Department of Transportation,Highway Services,M,53584.42,6558.81,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,5163.04,4337.28,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,5245.12,4337.28,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,65994.53,6493.46,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,60697.78,598.47,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60697.79,8988.54,0.00,15
DOT,Department of Transportation,Highway Services,M,104680.00,15939.51,2175.12,24
DOT,Department of Transportation,Highway Services,M,59412.66,7319.44,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,62820.70,2543.70,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,69104.41,20666.45,0.00,17
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60697.79,36506.38,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,532.50,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,65303.91,1434.50,0.00,15
DOT,Department of Transportation,Transit COS Taxicab Regulation,M,109761.00,0.00,0.00,25
DOT,Department of Transportation,Highway Services,M,68575.00,8030.32,1980.00,15
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,144751.00,0.00,0.00,M3
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,11193.87,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575.00,9696.50,4337.26,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575.00,4905.64,2138.40,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,4265.04,0.00,15
DOT,Department of Transportation,Highway Services,M,56386.00,11842.66,0.00,18
DOT,Department of Transportation,Transportation Technical Center,M,78902.00,9446.28,0.00,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,7875.93,0.00,15
DOT,Department of Transportation,Highway Administration,M,82691.00,3369.38,0.00,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,52109.64,2295.00,0.00,15
DOT,Department of Transportation,Highway Administration,M,75571.59,6315.79,0.00,22
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53932.73,590.60,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,12877.53,0.00,15
DOT,Department of Transportation,Highway Services,F,40289.00,5009.42,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57319.92,10758.04,0.00,17
DOT,Department of Transportation,Transit Silver Spring Ride On,M,41971.00,4465.49,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53933.48,4115.73,0.00,15
DOT,Department of Transportation,Highway Administration,M,82691.00,4472.65,0.00,19
DOT,Department of Transportation,Highway Administration,M,69697.14,5125.49,0.00,22
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,44959.81,657.24,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,55820.39,15299.62,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,55833.44,13486.80,0.00,15
DOT,Department of Transportation,Highway Administration,M,83137.05,0.00,0.00,25
DOT,Department of Transportation,Transit Nicholson Ride On,M,58738.62,7131.31,0.00,17
DOT,Department of Transportation,Transit Nicholson Ride On,M,49848.50,569.60,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53933.48,27387.01,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53932.73,12480.61,0.00,15
DOT,Department of Transportation,Highway Administration,M,75572.25,3867.36,0.00,22
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53933.48,2666.93,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53933.50,5980.87,0.00,15
DOT,Department of Transportation,Transit Operations and Planning,M,42216.82,0.00,0.00,8
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,48266.63,973.84,0.00,12
DOT,Department of Transportation,Transit Central Communication,M,59403.93,11404.29,0.00,18
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53933.48,1994.98,0.00,15
DOT,Department of Transportation,Development Review,M,109761.00,0.00,0.00,25
DOT,Department of Transportation,Transportation Technical Center,M,60336.14,5004.60,0.00,18
DOT,Department of Transportation,Transit Silver Spring Ride On,F,53399.48,3685.31,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48162.80,1467.12,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,6006.72,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,12216.33,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,1828.39,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,46533.74,6828.50,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,19503.50,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,5213.68,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,53399.48,6891.87,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,5348.02,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,4182.59,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,41971.00,2880.53,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,17127.70,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,566.95,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,1260.18,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.74,2886.48,0.00,15
DOT,Department of Transportation,Transit Special Transportation and Medicaid,F,90848.00,0.00,0.00,21
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.49,7576.42,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51955.00,5657.97,0.00,9
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.50,2980.62,0.00,15
DOT,Department of Transportation,Highway Services,M,62509.23,21660.94,0.00,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,77254.90,9527.26,0.00,19
DOT,Department of Transportation,Highway Services,M,51260.09,10258.72,0.00,14
DOT,Department of Transportation,Highway Services,M,53823.09,6366.03,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58060.37,6204.44,0.00,15
DOT,Department of Transportation,Transit Operations and Planning,F,56069.46,2102.73,0.00,16
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,864.64,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,7332.79,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,7086.31,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,12856.27,0.00,15
DOT,Department of Transportation,Highway Services,M,51260.10,6691.29,0.00,14
DOT,Department of Transportation,Traffic Engineering and Operations,F,49014.01,0.00,0.00,13
DOT,Department of Transportation,Highway Services,M,56386.11,13581.76,0.00,18
DOT,Department of Transportation,Parking Management Parking Operations,F,45425.06,65.52,0.00,11
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,17714.28,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,2911.43,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.76,2075.59,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,7609.62,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.76,4333.02,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,11150.50,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,54739.54,4793.52,0.00,15
DOT,Department of Transportation,Transit Safety and Instruction,M,126341.74,0.00,0.00,M3
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,6709.91,0.00,15
DOT,Department of Transportation,Highway Services,M,58738.64,7289.76,0.00,14
DOT,Department of Transportation,Transit Special Transportation and Medicaid,F,50220.63,0.00,0.00,16
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,66306.52,1432.29,0.00,22
DOT,Department of Transportation,Transit Silver Spring Ride On,M,58738.64,8446.76,0.00,17
DOT,Department of Transportation,Director Transportation Policy,M,120703.00,0.00,0.00,27
DOT,Department of Transportation,Highway Services,M,51260.10,4288.36,0.00,14
DOT,Department of Transportation,Highway Services,M,51259.73,4731.97,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,58738.64,18956.14,0.00,17
DOT,Department of Transportation,Highway Services,M,51260.10,5965.54,0.00,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.76,12681.34,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,38150.62,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,55267.71,7558.97,0.00,15
DOT,Department of Transportation,Highway Services,M,53823.09,26064.71,0.00,15
DOT,Department of Transportation,Highway Services,M,51260.10,7099.09,0.00,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,8776.33,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,1515.52,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,41971.00,1989.45,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53399.48,1328.06,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.75,3289.71,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,8076.82,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.75,0.00,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,21093.57,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,4698.89,0.00,15
DOT,Department of Transportation,Traffic Engineering and Operations Management Services,F,99852.00,792.11,0.00,23
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,79446.52,4870.04,0.00,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.74,16118.83,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,15335.06,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,1701.58,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,4836.66,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.74,2268.48,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,207.51,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,84980.39,1936.09,0.00,20
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,7728.82,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,1194.06,0.00,15
DOT,Department of Transportation,Highway Services,M,52465.91,8135.01,0.00,15
DOT,Department of Transportation,Highway Services,M,51260.09,18447.21,0.00,14
DOT,Department of Transportation,Highway Services,M,51260.09,6358.59,0.00,14
DOT,Department of Transportation,Highway Services,M,51260.09,8465.76,0.00,14
DOT,Department of Transportation,Director Management Services,F,74323.93,0.00,0.00,17
DOT,Department of Transportation,Transportation Management,M,56752.39,12196.92,0.00,19
DOT,Department of Transportation,Highway Services,M,51260.09,3031.40,0.00,14
DOT,Department of Transportation,Highway Services,F,41698.64,5262.74,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,12990.74,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,10529.96,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,4536.22,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.49,1915.06,0.00,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,47444.82,2138.61,0.00,12
DOT,Department of Transportation,Transit COS Taxicab Regulation,F,84161.41,0.00,0.00,21
DOT,Department of Transportation,Highway Services,M,49967.55,6864.71,0.00,14
DOT,Department of Transportation,Parking Management Administration,M,91467.44,0.00,0.00,25
DOT,Department of Transportation,Highway Services,M,56386.11,9878.48,0.00,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,2117.19,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,18047.42,0.00,15
DOT,Department of Transportation,Transit Operations and Planning,M,56069.47,2689.08,0.00,16
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,7333.79,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58739.46,4164.42,0.00,17
DOT,Department of Transportation,Transit Nicholson Ride On,M,48871.56,2733.01,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.47,2942.26,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,2005.31,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,6314.86,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,79958.82,7140.73,0.00,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,9400.11,0.00,15
DOT,Department of Transportation,Transit Safety and Instruction,M,62924.40,2770.59,0.00,19
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.48,0.00,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,88083.03,8147.34,0.00,21
DOT,Department of Transportation,Ride On Operations,M,141130.17,0.00,0.00,M2
DOT,Department of Transportation,Transportation Planning and Design Section,F,63831.60,0.00,0.00,16
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,7851.58,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,20656.22,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,4996.68,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,48871.56,6041.84,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,7536.79,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,3432.46,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,2138.95,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53399.48,12675.36,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,1139.12,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,18749.55,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,49848.50,3306.17,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,6849.15,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53399.48,7383.40,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,1039.34,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,51593.69,2016.76,0.00,15
DOT,Department of Transportation,Highway Services,M,51260.10,7674.29,0.00,14
DOT,Department of Transportation,Highway Services,M,49526.66,3716.96,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,F,51593.70,2658.33,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51593.02,0.00,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,4856.56,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,7570.62,0.00,15
DOT,Department of Transportation,Highway Services,M,50244.44,5996.84,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.70,17645.04,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.70,2109.67,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51593.70,2393.48,0.00,15
DOT,Department of Transportation,Transit COS Marketing,M,108129.63,0.00,0.00,25
DOT,Department of Transportation,Transportation Construction Section,F,107976.63,0.00,0.00,26
DOT,Department of Transportation,Transit Special Transportation and Medicaid,M,56753.12,0.00,0.00,18
DOT,Department of Transportation,Transportation Construction Section,M,122408.26,0.00,0.00,28
DOT,Department of Transportation,Transit COS Taxicab Regulation,F,78318.34,0.00,0.00,21
DOT,Department of Transportation,Commuter Services,F,108129.64,0.00,0.00,25
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51593.71,18640.46,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,5029.31,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,49848.99,413.86,0.00,15
DOT,Department of Transportation,Highway Services,M,50691.74,8925.13,0.00,15
DOT,Department of Transportation,Highway Services,M,48277.84,5749.23,0.00,14
DOT,Department of Transportation,Transportation Materials Testing Lab,M,99852.00,0.00,0.00,23
DOT,Department of Transportation,Highway Services,M,49526.67,7758.76,0.00,14
DOT,Department of Transportation,Highway Services,M,52003.00,2090.42,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,45622.12,2981.10,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51593.71,17460.73,0.00,15
DOT,Department of Transportation,Transportation Planning and Design Section,M,125872.99,0.00,0.00,M3
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51593.71,7883.26,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51593.71,3570.28,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,41971.00,10065.85,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,49848.50,3715.60,0.00,15
DOT,Department of Transportation,Development Review,F,120649.70,0.00,0.00,M3
DOT,Department of Transportation,Commuter Services,F,72144.38,0.00,0.00,21
DOT,Department of Transportation,Development Review,M,109761.00,0.00,0.00,25
DOT,Department of Transportation,Transit Silver Spring Ride On,F,49849.00,9919.07,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.74,3947.38,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,49848.99,4405.04,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,49848.99,6165.45,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,51593.72,4310.57,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,5916.87,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,49848.99,1144.50,0.00,15
DOT,Department of Transportation,Director Transportation Policy,F,85983.58,0.00,0.00,23
DOT,Department of Transportation,Transit COS Marketing,F,78902.00,0.00,0.00,18
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,62938.47,500.58,0.00,18
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,4830.65,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,483.27,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,49848.99,8228.52,0.00,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,90848.00,8850.12,0.00,21
DOT,Department of Transportation,Highway Services,M,48977.55,2543.16,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,49848.99,4884.59,0.00,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,49848.99,12277.64,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,49848.99,11798.89,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,49848.99,2549.95,0.00,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,49848.99,4025.45,0.00,15
DOT,Department of Transportation,Transit Operations and Planning,M,52341.44,0.00,0.00,16
DOT,Department of Transportation,Transit Nicholson Ride On,M,49848.99,10397.55,0.00,15
DOT,Department of Transportation,Highway Services,M,47851.34,7733.20,0.00,14
DOT,Department of Transportation,Highway Services,M,47851.63,6763.91,0.00,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,41971.00,4371.04,0.00,15
